id	requirement_id	operation_id	given	when	then	status
E-026	R1-05	patchWorkItemFields	RF-own; корректный статус и field version	По отдельности PATCH null, пустого, whitespace или 4001 символа	422 VALIDATION_ERROR; поле и обе versions прежние	NOT_RUN
E-027	R1-05	patchWorkItemFields	RF-own; корректный статус и field version	Сохранить ровно 4000 Unicode code points включая многобайтные символы	200; лимит в символах не UTF-8 байтах; field/entity versions увеличены один раз	NOT_RUN
E-028	R1-05	patchWorkItemFields	RM_A может видеть карточку RF_A	PATCH completion_summary с текущей version	403 FORBIDDEN_FIELD; ни текст, ни field_version не меняются	NOT_RUN
E-029	R1-05	patchWorkItemFields	RF-own; корректный статус	PATCH содержит org_unit_id, due_at, title, is_blocked либо второй field_path	422 VALIDATION_ERROR; immutable org и граница одного поля не обходятся	NOT_RUN
E-030	R1-05	patchWorkItemFields	RF-own; задача SUBMITTED либо COMPLETED либо CANCELLED; текущая field version	PATCH поля	422 INVALID_TRANSITION; snapshot и поле не меняются	NOT_RUN
E-031	R1-06	submitWorkItem	ASSIGNED A; RF-own; сохранён summary; !is_blocked; current entity version	POST submit без предварительного START	200 SUBMITTED; revision1; server submission_id/time; requires_acceptance=true; не COMPLETED	NOT_RUN
E-032	R1-06	submitWorkItem	IN_PROGRESS A; RF-own; сохранён summary; current entity version	POST submit	200 SUBMITTED; snapshot текста/field version/due_at/template соответствует commit; entity_version+1; reviewer IN_APP только текущим RM A	NOT_RUN
E-033	R1-06	submitWorkItem	RF-own; ASSIGNED; поле ещё null	POST submit с актуальной entity version	422 COMPLETION_REQUIRED; нет submission и не меняется состояние	NOT_RUN
E-034	R1-06	submitWorkItem	Тестовая fixture IN_PROGRESS is_blocked=true с reason и сохранённым summary	POST submit с актуальной entity version	422 WORK_ITEM_BLOCKED; не 423; submission не создаётся; flag не снимается автоматически	NOT_RUN
E-035	R1-06	submitWorkItem	Клиент имеет несохранённый текст; сервер содержит другую сохранённую версию	UI пытается submit при UNSAVED/SAVING/SAVE_FAILED	UI не отправляет submit; сервер никогда не объявляет не переданный текст принятым; после PATCH submit использует новую entity_version	NOT_RUN
E-036	R1-06	submitWorkItem	Серверное время позже due_at; RF-own; валидное сохранённое поле	POST submit с актуальной version	200; submission_marker=LATE; submitted_at от сервера; клиент не может поставить время задним числом	NOT_RUN
E-037	R1-07	acceptWorkItem	SUBMITTED A; RM_A не исполнитель/submitter; текущие entity version и submission id/revision	POST accept	200 COMPLETED; snapshot immutable; accept audit с reviewer и reviewed revision; notification исполнителю	NOT_RUN
E-038	R1-07	acceptWorkItem	Dual-role пользователь RM+RF A сам assignee и submitter	POST accept своей сдачи с актуальными versions	403 SELF_REVIEW_FORBIDDEN; роли не обходят запрет; нет completion/audit-effect/outbox-effect	NOT_RUN
E-039	R1-07	reworkWorkItem	Dual-role пользователь RM+RF A сам исполнитель сдачи	POST rework своей сдачи с reason и актуальными versions	403 SELF_REVIEW_FORBIDDEN; собственную сдачу нельзя review ни одним решением	NOT_RUN
E-040	R1-07	reworkWorkItem	SUBMITTED A; независимый RM_A; актуальная сдача	POST rework с reason	200 IN_PROGRESS; rework_count+1; due_at и предыдущий snapshot неизменны; следующий submit создаёт revision+1	NOT_RUN
E-041	R1-07	reworkWorkItem	SUBMITTED A; независимый RM_A; versions актуальны	POST rework без reason либо whitespace	422 VALIDATION_ERROR; нет перехода или увеличения rework_count	NOT_RUN
E-042	R1-07	acceptWorkItem	SUBMITTED revision2; actor authorized; entity version актуальна	POST accept с submission_id/revision1 либо UUID сдачи другой задачи	409 SUBMISSION_CONFLICT; без изменения; чужой snapshot не раскрывается	NOT_RUN
E-043	R1-08	cancelWorkItem	Отдельные fixtures DRAFT, ASSIGNED, IN_PROGRESS, SUBMITTED A; RM_A	POST cancel каждой с reason и актуальной version	200 CANCELLED; snapshot/history сохранены; blocked flag очищен если был; прежние due_at/assignee сохранены	NOT_RUN
E-044	R1-08	cancelWorkItem	COMPLETED или CANCELLED A; RM_A; актуальная version	POST cancel	422 INVALID_TRANSITION; completed evidence не удалено и cancelled не оживает	NOT_RUN
E-045	R1-08	reopenWorkItem	COMPLETED A; RM_A; прежний RF_A active с grant	POST reopen с reason и актуальной version	200 IN_PROGRESS; старый accepted snapshot неизменен; due_at/rework_count сохранены; следующий submit новая revision	NOT_RUN
E-046	R1-08	reopenWorkItem	CANCELLED A; RM_A; актуальная version	POST reopen	422 INVALID_TRANSITION; CANCELLED терминален; никакого восстановления этой записи	NOT_RUN
E-047	R1-08	reopenWorkItem	COMPLETED A; прежний assignee inactive либо grant revoked	POST reopen с актуальной version и reason	422 ASSIGNEE_INELIGIBLE; нельзя скрыто переназначить исполнителя	NOT_RUN
E-048	R1-09	getWorkItemHistory	Две сдачи A, rework и accept; RM_A либо текущий RF-own	GET history все страницы	200; обе immutable submission revisions и review refs; порядок aggregate_version,event_id; без IP/UA/session/security audit	NOT_RUN
E-049	R1-09	getWorkItemHistory	RM_A без grant B знает work_item B	GET history B с/без cursor	404 NOT_FOUND; ни старые snapshots, ни новые данные B не выдаются	NOT_RUN
E-050	R1-10	listNotifications	IN_APP адресат RF_A; есть личные A, чужие A и B notification	GET notifications	Только собственные сообщения при текущем item scope; никакого чужого текста или count; no-store	NOT_RUN
E-051	R1-10	readNotification	Собственное доступное IN_APP unread version1	POST read expected_entity_version=1 и unique key	200 read_at server-time version2; audit/outbox notification.read; repeated same key без второго эффекта	NOT_RUN
E-052	R1-10	readNotification	Notification другого пользователя или отозван доступ к задаче	POST read по известному UUID	404 NOT_FOUND; read_at/version не меняются; replay тоже не выдаёт прежнее содержимое	NOT_RUN
E-053	R1-10	listNotifications	Событие назначено recipient; grant отозван до consumer transaction	Consumer обрабатывает outbox и затем пользователь открывает inbox	SKIPPED_ACCESS_REVOKED без notification; receipt durable; list не раскрывает данные; нет фиктивной доставки	NOT_RUN
E-054	R1-10	getWorkItem	Старое IN_APP уже доставлено; grant отозван после доставки	Клик callback открывает work_item либо action POST	Новая server authorization; 404 hidden object либо 401 revoked session; notification URL не capability	NOT_RUN
E-055	R1-11	patchWorkItemFields	Два клиента RF-own прочитали field_version1	Параллельные PATCH разного текста с expected_version1 и разными keys	Ровно один 200; второй 409 FIELD_VERSION_CONFLICT; field_version2; локальный текст проигравшего не стирается; нет silent overwrite	NOT_RUN
E-056	R1-11	startWorkItem	ASSIGNED entity_version2; два запроса start с разными keys	Одновременные POST expected_entity_version2	Один 200 IN_PROGRESS v3; второй 409 ENTITY_VERSION_CONFLICT; ровно одно событие START	NOT_RUN
E-057	R1-11	submitWorkItem	IN_PROGRESS version3 field_version1; одновременно field PATCH и submit v3	PATCH получает lock и commit раньше submit	Submit 409 ENTITY_VERSION_CONFLICT; никакой сдачи старого поля; после чтения v4 клиент может отправить новый key	NOT_RUN
E-058	R1-11	patchWorkItemFields	IN_PROGRESS; одновременно submit и PATCH с актуальным field CAS	Submit получает lock и commit раньше PATCH	PATCH 422 INVALID_TRANSITION; snapshot содержит committed field; после сдачи поле не изменилось	NOT_RUN
E-059	R1-11	acceptWorkItem	Два RM_A одновременно accept и rework одной сдачи с разными keys	Оба посылают одинаковую актуальную entity version	Один успешный переход; второй 409 ENTITY_VERSION_CONFLICT; невозможны два решения одной версии	NOT_RUN
E-060	R1-11	createWorkItem	Первый create committed; HTTP ответ потерян; тот же actor/operation/key/body в пределах30d	Повторить POST create	Тот же 201 и ID/body; ровно одна задача, initial field, business audit, outbox	NOT_RUN
E-061	R1-11	createWorkItem	Ключ actor/create уже использован	Повторить key с другим title/org/payload	409 IDEMPOTENCY_KEY_REUSED; ни новая задача, ни утечка чужого scope; auth/scope раньше replay	NOT_RUN
E-062	R1-11	assignWorkItem	Ключ actor/assign уже использован для задачи A1	Повторить key и body для другого target A2	409 IDEMPOTENCY_KEY_REUSED; fingerprint включает path/target; A2 не изменяется	NOT_RUN
E-063	R1-11	createWorkItem	Два одинаковых create одного actor/key выполняются одновременно	Доставить оба запроса	Один commit; второй сохранённый результат после ожидания либо 409 IDEMPOTENCY_IN_PROGRESS с безопасным retry; нет второй задачи	NOT_RUN
E-064	R1-11	createWorkItem	Ранее успешный create A; grant A отозван	Повторить прежний key/payload	403 FORBIDDEN; saved response не обходит текущую авторизацию	NOT_RUN
E-065	R1-11	submitWorkItem	Валидная session RF-own; корректный body	POST submit без Idempotency-Key либо без expected_entity_version	422 VALIDATION_ERROR; никакого перехода; аналогично всем action POST кроме auth	NOT_RUN
E-066	R1-11	readNotification	Notification уже read v2; новый key	POST read v2 затем отдельный POST новым key v1	Первый200 no-op с тем же read_at/v2 без event; второй409 ENTITY_VERSION_CONFLICT	NOT_RUN
E-067	R1-11	createWorkItem	Успешный ключ находится в store 29д23ч; policy purge запускается	Purge затем replay	Ключ не удалён ранее30д; replay исходного результата без второй задачи; истёкший create после30д требует нового явного подтверждения клиента	NOT_RUN
E-068	R1-12	submitWorkItem	Eligible submit; fault injection после mutation до audit/outbox insert	Транзакция получает ошибку записи audit или outbox	503 canonical Error; rollback work_item, submission, versions и idempotency success; следующий retry с тем же key может commit один раз	NOT_RUN
E-069	R1-12	assignWorkItem	ASSIGN committed в PostgreSQL; Redis недоступен	Восстановить consumer из durable outbox	Событие не потеряно; одна IN_APP запись при действующем grant; consumer receipt атомарен с delivery effect	NOT_RUN
E-070	R1-12	listNotifications	Одно outbox событие доставлено consumer дважды; затем gap aggregate_version	Повтор обработчика и обработка версии с пропущенной предыдущей	UNIQUE consumer/event и event/recipient предотвращают дубли; gap требует catch-up; не обещается exactly-once внешних каналов	NOT_RUN
E-071	R1-12	getWorkItemHistory	Рабочая mutation commit и audit/outbox со ссылками actor/org/request_id	Проверить таблицы и authorized history projection	У work_item event_id,type,aggregate_id,version,org,time,actor,schema_version,correlation_id; audit before/after; no secret in outbox; истории соответствуют revisions	NOT_RUN
E-072	R1-02	patchWorkItemFields	Пользователь имеет только A; target B; заведомо stale field version	POST/PATCH запрос поля B	404 до CAS; Error.details не содержит current value/version B	NOT_RUN
E-073	R1-01	login	Достигнут утверждённый тестовый порог login quota	Следующий login	429 RATE_LIMITED; Retry-After и canonical error; не создаётся session; threshold proposal согласован до исполнения	NOT_RUN
E-074	R1-12	submitWorkItem	Транзакция commit прошла, но сеть оборвала ответ	Повтор POST с прежним key	Сохранённый success без второго snapshot/event; если service отвечает503, Retry-After и request_id не теряются	NOT_RUN
E-075	R1-02	getWorkItem	Grant A revoke конкурирует с запросом или business commit	Сериализовать через общие authorization fences	Либо разрешённый commit/read линейно раньше revoke, либо отказ после; stale permission cache не разрешает поздний доступ	NOT_RUN
E-076	R1-03	createWorkItem	Изолированная тестовая PostgreSQL16 схема; application role отсутствует в текущем комплекте	После будущего deploy попытаться связать field/submission/notification org B с item A либо сменить work_item org	Composite FK или immutable trigger отвергает запись; эта проверка требует реальной БД и здесь NOT_RUN	NOT_RUN
E-077	R1-07	acceptWorkItem	SUBMITTED A; независимый reviewer; старый entity version при актуальном submission	POST accept	409 ENTITY_VERSION_CONFLICT; submission revision не заменяет entity CAS	NOT_RUN
E-078	R1-02	listWorkItems	RM_A; cursor другого actor/filter или истёкший разрешённый cursor	GET page с подменённым cursor	422 INVALID_CURSOR без данных чужого scope; при revoked session сначала401	NOT_RUN
E-079	R1-08	cancelWorkItem	RM_A; valid status; correct version	POST cancel без reason либо blank reason	422 VALIDATION_ERROR; CANCELLED не появляется	NOT_RUN
E-080	R1-08	reopenWorkItem	RM_A; COMPLETED; eligible prior assignee	POST reopen без reason либо blank reason	422 VALIDATION_ERROR; COMPLETED и snapshot сохранены	NOT_RUN
